Account,Won,Webinar,Conference,Website,Preqs,Trials,MKT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
"Capital One Services, LLC",1413650,74,183,29,0,5,498,0,1,0,896,97,25480
HSBC,1339350,28,60,15,0,4,106,0,0,1,192,60,12464
Bank of America Corporation,1171670,47,74,29,0,12,155,0,1,0,411,37,11004
Standard Chartered,955000,7,10,8,1,2,26,0,1,1,86,13,3084
In-Q-Tel,853846,0,0,1,0,1,1,0,0,0,7,1,440
Western Digital,600000,5,8,6,1,2,20,0,0,0,185,11,3056
Canadian Imperial Bank of Commerce,544468,19,8,4,1,0,32,5,3,0,330,6,981
HomeAway.com,386100,8,16,3,0,0,29,0,1,0,166,13,3688
Fifth Third Bank,375000,7,5,6,0,4,21,0,0,0,67,8,3102
Eli Lilly & Co.,331250,3,6,1,0,0,13,0,1,1,78,6,1543
ViaSat,305540,11,8,4,0,2,31,0,0,1,104,16,5694
Salesforce.com,295817,17,17,28,0,20,81,2,0,0,434,39,12226
Navy Federal Credit Union,290000,6,4,0,0,0,24,0,0,0,92,13,2428
QUALCOMM,283278,15,80,7,1,3,112,0,0,1,345,68,10901
Allstate,279784,27,46,10,0,3,89,0,0,1,164,46,11775
ABN AMRO Bank N.V.,265816,4,7,1,0,1,17,6,1,0,38,4,1408
ServiceNow,260000,4,36,5,0,1,52,0,1,0,81,15,5635
Express Scripts,250000,13,26,4,0,3,52,0,1,0,129,29,5919
Intel,250000,27,79,20,3,2,305,1,0,2,687,61,11642
Indeed,249996,1,10,1,0,1,20,0,0,1,119,13,2145
Liberty Mutual Insurance Company,239499,12,13,1,0,0,67,0,0,1,277,9,2531
"Ventech Solutions, Inc.",234900,2,4,1,0,0,9,5,0,0,22,5,2320
Societe Generale BSC,234824,1,0,1,0,0,3,0,0,1,3,3,634
BNP CIB,233936,4,0,6,3,3,11,0,0,0,25,8,2453
"Toyota Motor North America, Inc.",224375,2,12,4,2,1,40,1,0,0,171,5,1010
Samsung Semiconductor Austin,223147,5,4,0,0,0,49,0,0,0,105,5,881
Advanced Micro Devices,220000,1,1,0,0,0,11,0,0,0,151,1,89
LATAM Airlines Group,192780,1,4,4,0,2,11,4,1,1,18,4,1572
DZ Bank AG,191883,4,2,3,0,3,10,3,0,0,27,5,1443
Desjardins Group,191019,2,2,3,0,3,10,0,3,1,59,5,1098
"Autodesk, Inc.",190937,24,52,15,0,5,93,0,0,0,289,42,12476
Swedbank AB,190543,1,1,2,0,0,5,0,0,0,62,3,1413
Huawei Technologies,182231,2,31,10,0,7,63,4,0,1,200,14,4077
American Airlines,181669,24,27,6,0,4,158,1,1,1,517,86,15707
OCC (Options Clearing Corporation),175619,2,2,1,0,0,16,0,0,1,20,9,1210
Rally Health,174000,0,0,3,1,2,14,0,2,0,47,3,673
NetSuite Subscriptions test,172800,0,0,0,0,0,0,0,0,0,0,0,0
Cisco-NC ENG IT/TSM,171418,0,2,0,0,0,2,0,1,0,4,3,945
Royal Bank of Canada,171158,4,16,3,1,1,34,4,0,0,321,13,1976
Sirius XM Radio Inc.,170240,7,2,0,0,0,14,1,0,1,49,12,2155
Cray Inc.,169750,1,3,1,1,0,30,2,1,0,66,2,429
Allied Irish Banks plc,166910,3,1,0,0,0,7,1,2,1,27,4,1493
Discover Financial Services,165820,14,10,6,1,5,35,0,0,1,68,13,4064
BNSF Railway,160826,3,2,3,0,1,30,0,1,0,128,9,1280
Freddie Mac,159309,7,14,7,0,4,61,1,0,0,133,47,6778
