Account,Lost,Webinar,Conference,Website,Preqs,Trials,MKTT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
Verizon,807000,65,126,26,0,4,293,1,1,2,616,133,22641
Eneco Holding N.V.,579671,0,0,0,0,0,0,0,0,0,10,0,-41
TransUnion,530000,1,4,0,0,0,22,0,0,0,156,0,83
Spotify AB,500800,0,4,4,0,4,11,0,0,1,48,2,651
Charter Communications,470000,4,17,5,2,1,40,0,0,0,790,13,1714
Two Sigma Investments,450000,0,1,2,0,2,4,0,0,1,13,2,55
United Technologies Corporation,438000,0,3,1,1,0,17,1,1,0,151,3,208
Comcast Corporation,433380,14,60,11,1,4,187,1,2,0,391,16,2857
Viacom,400000,3,4,1,0,0,11,0,0,0,313,2,159
Walt Disney,399570,9,21,7,0,0,154,0,1,0,860,11,1963
Sherwin-Williams Company,365000,5,12,0,0,0,25,0,0,0,72,1,314
TD Ameritrade,365000,0,2,1,0,0,33,0,0,0,319,0,133
GM Financial,360880,10,11,2,0,0,32,0,0,1,84,8,1981
Televic,359790,5,0,2,0,0,7,1,0,0,11,2,767
Intel,325000,27,79,20,3,2,305,1,0,2,687,61,11642
McDonald's,324000,3,8,3,0,1,21,0,2,0,175,8,1219
"Toyota Motor North America, Inc.",324000,2,12,4,2,1,40,1,0,0,171,5,1010
Food and Drug Administration (FDA),302875,2,18,2,0,0,26,1,0,0,31,3,849
Cerner Corporation,283800,7,30,7,0,1,60,0,1,0,261,17,3526
CaseNET,280000,3,0,0,0,0,5,0,0,0,21,2,265
Rockwell Automation,279480,21,10,5,1,0,49,2,0,0,577,22,5160
MAXIMUS,275000,6,5,4,1,0,15,0,0,0,43,12,2567
Marriott International,250000,3,14,2,1,0,24,0,0,0,384,6,17
F5 Networks,238750,18,18,3,0,0,40,0,0,0,165,15,4414
ING Groep N.V.,231868,14,55,9,0,1,90,0,0,1,168,10,3791
Banco Itau Unibanco,226800,1,8,1,0,1,11,1,0,1,11,1,222
SolarWinds,222500,0,19,0,0,0,39,0,1,0,140,4,275
Nielsen,220500,20,40,8,1,0,75,1,0,0,709,38,6615
Southwest Airlines,182400,8,10,5,0,2,57,0,0,0,332,19,4086
"Volkswagen of America, Inc",175000,1,2,0,0,0,11,1,0,0,88,0,140
SciQuest Inc,174000,0,0,0,0,0,1,0,0,0,15,0,0
Paychex,172000,5,4,1,0,0,21,0,1,0,153,4,516
Early Warning®,170000,0,2,0,0,0,2,0,0,0,19,0,3
Citrix,168000,11,18,2,0,2,122,0,0,0,386,18,3193
"Cardinal Health, Inc.",162000,5,14,3,1,0,37,0,0,0,426,6,1677
Lowe's Companies,162000,5,3,3,0,0,26,0,0,0,86,7,1300
Teradyne Inc.,162000,0,0,1,0,0,14,0,0,0,18,1,-2
GE Digital,150000,3,30,5,0,0,43,0,0,0,1523,16,2800
Lincoln Financial Group,150000,5,14,2,0,0,62,0,0,0,311,11,1779
Hewlett-Packard,140000,22,111,19,2,3,266,0,0,0,1613,33,9356
Radian Group Inc.,140000,2,0,2,1,0,6,0,0,0,32,2,-161
The Chubb Corporation,140000,4,6,1,1,0,35,0,0,0,303,5,347
Finastra,135500,11,15,6,0,0,37,0,0,1,102,22,3740
Sky Betting and Gaming,128609,0,0,1,0,1,3,0,0,1,7,0,74
KPN Corporate Market B.V.,127250,2,2,1,0,0,4,0,0,0,12,2,374
SberTech,127000,8,13,1,0,0,29,1,0,0,42,12,2213
Barco,126639,1,0,1,0,0,4,0,0,0,47,1,198
IDT Corporation,125000,6,2,1,0,0,23,0,0,0,60,7,2657
TeleTracking Technologies,125000,2,2,2,0,1,6,0,0,0,15,2,-1
"Interactive Intelligence, Inc.",124000,1,1,0,0,0,19,0,0,0,387,5,833
Ebsco Industries,121600,3,13,2,1,0,28,1,0,0,53,6,1339
Scripps Networks,121600,2,9,0,0,0,18,0,0,0,273,10,3837
ADP,116750,29,16,9,0,4,51,2,0,0,938,24,6898
8x8  Inc.,116491,0,2,0,0,0,9,0,1,0,90,2,545
U.S. Bank,115385,15,24,3,1,0,53,0,0,0,119,14,2566
University of Utah Hospitals & Clinics,113400,0,2,1,0,0,3,0,0,0,55,3,415
National Grid USA,112000,3,3,1,0,1,10,0,0,0,20,4,802
RR Donnelley,110000,0,4,0,0,0,9,0,1,0,123,0,-222
AT&T,104800,52,64,21,0,1,166,0,0,0,765,79,16116
Atos,101297,20,38,14,2,0,82,1,0,0,135,38,6371
Santander Produban Brazil,100800,7,3,1,1,0,10,3,0,0,11,3,1104
Campbell Soup Company,100000,0,1,1,0,1,1,0,0,0,6,1,95
Putnam Investments,100000,1,2,2,2,1,24,0,1,0,98,2,812
Quicken Loans Inc.,100000,3,24,3,0,2,34,0,0,1,62,7,1425
Rover.com,100000,0,0,1,0,1,1,0,0,0,7,1,160
Union Pacific,100000,4,0,1,1,0,14,0,1,0,172,2,408
Cleo,98500,3,2,0,0,0,6,0,0,0,9,1,283
Tesco Plc,98396,4,7,7,0,0,26,0,0,1,78,4,735
Openet,97352,0,5,3,1,0,15,0,0,0,18,6,1275
Delta Air Lines,97280,5,8,4,0,2,17,0,0,1,99,6,1389
CognitoIQ,96318,0,4,2,0,1,5,0,0,0,7,4,343
UnitedHealth Group Inc.,95760,19,32,4,0,2,118,0,0,0,719,8,2293
DreamWorks Animation  Inc.,94750,2,3,1,0,0,7,0,0,0,107,1,75
Allied Irish Banks plc,93688,3,1,0,0,0,7,1,2,1,27,4,1493
AstraZeneca North America,90000,5,11,2,0,0,25,0,0,0,70,4,1192
BlueCross BlueShield of South Carolina,90000,5,6,4,1,2,15,0,0,0,94,8,1888
Envestnet,90000,0,1,1,1,0,5,0,0,0,7,2,400
Macy's,90000,2,37,4,0,3,52,0,0,0,245,12,2645
MetLife,90000,3,9,3,0,0,159,1,0,0,663,10,1011
Nationwide,90000,13,15,2,0,0,111,0,0,0,725,15,3139
QVC,90000,7,12,2,1,0,47,0,0,0,201,11,1534
Rackspace Hosting,90000,4,24,1,1,0,59,0,0,0,236,5,1207
Wombat Security Technologies,90000,0,0,1,1,0,2,0,0,0,11,3,250
"FIS - Fidelity National Information Services, Inc.",89250,20,36,4,0,1,70,0,1,1,206,8,2610
Sabre Holdings,88725,6,6,1,0,0,68,0,0,0,286,6,1128
Asurion,84250,11,21,1,0,0,54,0,0,0,258,17,3463
Magic Leap,83750,1,2,0,0,0,6,0,0,0,78,1,665
U.S. Department of Housing and Urban Development,80103,0,4,0,0,0,18,1,0,0,20,3,343
Pennsylvania State University,80000,2,2,2,0,1,5,0,0,0,17,2,436
Smartsheet,80000,1,1,1,1,0,13,0,0,0,134,2,-567
GE Healthcare,77750,2,6,2,0,1,8,0,0,0,370,5,1375
Billtrust,75000,3,0,0,0,0,3,0,0,0,25,3,508
BMC Software,75000,11,32,6,0,0,68,0,0,0,226,26,3621
Thomas Cook Online,75000,0,0,1,1,0,1,0,0,0,2,1,83
Ford Motor Company,71650,18,9,7,1,2,39,0,0,1,125,15,3005
Sotera Defense,70687,0,1,0,0,0,1,1,0,0,48,0,48
Garmin,70000,2,4,2,1,0,22,0,1,0,323,6,914
"Market America, Inc.",70000,0,3,1,0,0,11,0,1,0,42,3,-489
National Instruments Corporation,70000,2,6,3,0,1,71,0,0,0,222,5,851
"PatientKeeper, Inc.",70000,0,0,0,0,0,1,0,0,0,49,0,-147
The College Board,70000,3,7,1,0,0,41,0,0,0,93,2,1214
KBC Groep NV,67627,7,4,1,0,0,11,0,0,0,67,6,1342
Level 3 Communications,67532,0,6,0,0,0,20,0,0,0,171,2,-1
Spirent Communications,67500,1,5,0,0,0,8,0,0,0,76,2,270
Wunderman,67500,0,0,1,1,0,3,0,0,0,7,1,100
IBM,66750,292,723,129,12,27,1085,2,0,0,2970,676,118606
DataStax,66500,0,2,0,0,0,3,0,0,0,60,0,-71
Leidos,65000,7,12,5,0,2,87,0,0,0,142,9,1736
Teradata,65000,12,48,5,0,0,200,0,0,0,343,33,4307
General Motors,64600,22,15,9,0,4,66,0,0,0,208,24,4864
Paralucent,64471,1,1,1,1,0,2,1,0,0,3,2,352
Nord Ost West Informationstechnik GmbH,64079,0,0,0,0,0,0,0,0,0,3,0,-29
Neiman Marcus,63650,0,1,3,1,2,16,0,0,0,134,5,805
Xerox Corporation,63500,3,14,2,1,1,33,0,0,0,644,9,2300
The Rubicon Project,62500,0,0,0,0,0,2,0,0,0,36,0,-341
Arxan Technologies,61000,0,1,0,0,0,1,0,0,0,13,0,50
AutoTrader.com,60800,3,5,2,0,0,9,0,1,0,90,2,652
Acquia Inc.,60000,0,7,1,0,1,10,0,0,0,228,7,1879
